10.38	4.12	13.4	0.198	2.329	6.23E+01	6.88E+01	4.69E-02	1.01E+00	6.77E+01	6.23E+01	0	0	0	6.86E+01	0.00E+00
10.38	4.13	13.4	0.199	2.334	6.22E+01	6.86E+01	4.60E-02	9.98E-01	6.76E+01	6.22E+01	0	0	0	6.84E+01	0.00E+00
10.38	4.14	13.4	0.2	2.34	6.22E+01	6.84E+01	4.50E-02	9.90E-01	6.74E+01	6.22E+01	0	0	0	6.83E+01	0.00E+00
10.38	4.15	13.4	0.201	2.345	6.21E+01	6.83E+01	4.40E-02	9.78E-01	6.73E+01	6.21E+01	0	0	0	6.81E+01	0.00E+00
10.38	4.16	13.4	0.201	2.351	6.20E+01	6.81E+01	4.31E-02	9.67E-01	6.71E+01	6.20E+01	0	0	0	6.80E+01	0.00E+00
10.38	4.17	13.4	0.202	2.357	6.19E+01	6.80E+01	4.22E-02	9.56E-01	6.70E+01	6.19E+01	0	0	0	6.78E+01	0.00E+00
10.38	4.18	13.4	0.203	2.362	6.18E+01	6.78E+01	4.13E-02	9.45E-01	6.68E+01	6.18E+01	0	0	0	6.77E+01	0.00E+00
10.38	4.19	13.4	0.204	2.368	6.17E+01	6.76E+01	4.04E-02	9.34E-01	6.67E+01	6.17E+01	0	0	0	6.75E+01	0.00E+00
10.38	4.2	13.4	0.205	2.374	6.16E+01	6.75E+01	3.96E-02	9.23E-01	6.65E+01	6.16E+01	0	0	0	6.74E+01	0.00E+00
10.38	4.21	13.4	0.206	2.379	6.15E+01	6.73E+01	3.87E-02	9.13E-01	6.64E+01	6.15E+01	0	0	0	6.72E+01	0.00E+00
10.38	4.22	13.4	0.206	2.385	6.14E+01	6.72E+01	3.79E-02	9.02E-01	6.62E+01	6.14E+01	0	0	0	6.71E+01	0.00E+00
10.38	4.23	13.4	0.207	2.391	6.13E+01	6.70E+01	3.71E-02	8.92E-01	6.61E+01	6.13E+01	0	0	0	6.69E+01	0.00E+00
10.38	4.24	13.4	0.208	2.396	6.12E+01	6.68E+01	3.63E-02	8.82E-01	6.59E+01	6.12E+01	0	0	0	6.68E+01	0.00E+00
10.38	4.25	13.4	0.209	2.402	6.12E+01	6.67E+01	3.55E-02	8.72E-01	6.58E+01	6.11E+01	0	0	0	6.66E+01	0.00E+00
10.38	4.26	13.4	0.21	2.408	6.11E+01	6.65E+01	3.47E-02	8.62E-01	6.56E+01	6.11E+01	0	0	0	6.65E+01	0.00E+00
10.38	4.27	13.4	0.21	2.413	6.10E+01	6.63E+01	3.40E-02	8.52E-01	6.55E+01	6.10E+01	0	0	0	6.63E+01	0.00E+00
10.38	4.28	13.4	0.211	2.419	6.09E+01	6.62E+01	3.33E-02	8.42E-01	6.53E+01	6.09E+01	0	0	0	6.62E+01	0.00E+00
10.38	4.29	13.4	0.212	2.425	6.08E+01	6.60E+01	3.25E-02	8.33E-01	6.52E+01	6.08E+01	0	0	0	6.60E+01	0.00E+00
10.38	4.3	13.4	0.213	2.43	6.07E+01	6.59E+01	3.18E-02	8.23E-01	6.50E+01	6.07E+01	0	0	0	6.59E+01	0.00E+00
10.38	4.31	13.4	0.214	2.436	6.06E+01	6.57E+01	3.11E-02	8.14E-01	6.49E+01	6.06E+01	0	0	0	6.57E+01	0.00E+00
10.38	4.32	13.4	0.215	2.442	6.05E+01	6.55E+01	3.05E-02	8.05E-01	6.47E+01	6.05E+01	0	0	0	6.56E+01	0.00E+00
10.38	4.33	13.4	0.216	2.447	6.04E+01	6.54E+01	2.98E-02	7.96E-01	6.46E+01	6.04E+01	0	0	0	6.54E+01	0.00E+00
10.38	4.34	13.4	0.216	2.453	6.03E+01	6.52E+01	2.91E-02	7.87E-01	6.44E+01	6.03E+01	0	0	0	6.53E+01	0.00E+00
10.38	4.35	13.4	0.217	2.459	6.02E+01	6.51E+01	2.85E-02	7.78E-01	6.43E+01	6.02E+01	0	0	0	6.51E+01	0.00E+00
10.38	4.36	13.4	0.218	2.464	6.01E+01	6.49E+01	2.79E-02	7.69E-01	6.41E+01	6.01E+01	0	0	0	6.50E+01	0.00E+00
10.38	4.37	13.4	0.219	2.47	6.00E+01	6.48E+01	2.73E-02	7.61E-01	6.40E+01	6.00E+01	0	0	0	6.48E+01	0.00E+00
10.38	4.38	13.4	0.22	2.475	5.99E+01	6.46E+01	2.66E-02	7.52E-01	6.38E+01	5.99E+01	0	0	0	6.47E+01	0.00E+00
10.38	4.39	13.4	0.221	2.481	5.99E+01	6.44E+01	2.61E-02	7.44E-01	6.37E+01	5.98E+01	0	0	0	6.45E+01	0.00E+00
